downtime_id,equipment_id,start_time,end_time,duration_hours,reason
1,2,1/27/2025,1/27/2025 3:54,3.9,Ожидание материала
2,4,6/16/2025,6/16/2025 1:36,1.6,Наладка
3,3,11/23/2025,11/23/2025 0:52,0.866666667,Плановый ремонт
4,3,7/20/2025,7/20/2025 3:34,3.566666667,Ожидание материала
5,6,3/23/2025,3/23/2025 3:54,3.9,Поломка
6,2,6/16/2025,6/16/2025 3:38,3.633333333,Ожидание материала
7,4,7/25/2025,7/25/2025 2:44,2.733333333,Контроль качества
8,4,6/15/2025,6/15/2025 5:25,5.416666667,Плановый ремонт
9,1,1/1/2025,1/1/2025 2:29,2.483333333,Поломка
10,4,4/16/2025,4/16/2025 2:27,2.45,Наладка
11,2,10/25/2025,10/25/2025 2:40,2.666666667,Наладка
12,1,4/18/2025,4/18/2025 2:16,2.266666667,Поломка
13,1,11/23/2025,11/23/2025 5:32,5.533333333,Ожидание материала
14,2,9/9/2025,9/9/2025 2:13,2.216666667,Наладка
15,3,2/14/2025,2/14/2025 5:28,5.466666667,Наладка
16,6,2/13/2025,2/13/2025 4:45,4.75,Наладка
17,6,12/23/2025,12/23/2025 0:17,0.283333333,Наладка
18,5,2/20/2025,2/20/2025 1:21,1.35,Поломка
19,1,4/3/2025,4/3/2025 3:10,3.166666667,Контроль качества
20,2,11/18/2025,11/18/2025 0:18,0.3,Плановый ремонт
21,3,2/21/2025,2/21/2025 2:28,2.466666667,Контроль качества
22,3,8/7/2025,8/7/2025 3:39,3.65,Контроль качества
23,3,1/24/2025,1/24/2025 0:18,0.3,Ожидание материала
24,1,9/16/2025,9/16/2025 5:38,5.633333333,Контроль качества
25,6,6/17/2025,6/17/2025 3:10,3.166666667,Ожидание материала
26,1,2/25/2025,2/25/2025 2:02,2.033333333,Контроль качества
27,6,11/20/2025,11/20/2025 5:16,5.266666667,Контроль качества
28,1,6/4/2025,6/4/2025 4:36,4.6,Поломка
29,3,8/20/2025,8/20/2025 4:15,4.25,Плановый ремонт
30,5,9/15/2025,9/15/2025 4:23,4.383333333,Поломка
31,4,3/7/2025,3/7/2025 5:22,5.366666667,Ожидание материала
32,3,1/22/2025,1/22/2025 2:01,2.016666667,Ожидание материала
33,4,8/4/2025,8/4/2025 1:23,1.383333333,Контроль качества
34,5,10/24/2025,10/24/2025 5:27,5.45,Контроль качества
35,2,9/25/2025,9/25/2025 0:27,0.45,Плановый ремонт
36,6,2/26/2025,2/26/2025 0:54,0.9,Контроль качества
37,5,2/4/2025,2/4/2025 4:33,4.55,Наладка
38,5,1/11/2025,1/11/2025 5:41,5.683333333,Наладка
39,2,12/28/2025,12/28/2025 2:10,2.166666667,Ожидание материала
40,3,7/19/2025,7/19/2025 0:45,0.75,Контроль качества
41,6,11/23/2025,11/23/2025 1:20,1.333333333,Плановый ремонт
42,2,1/20/2025,1/20/2025 4:00,4,Плановый ремонт
43,1,7/18/2025,7/18/2025 0:53,0.883333333,Контроль качества
44,6,11/22/2025,11/22/2025 1:45,1.75,Наладка
45,1,8/2/2025,8/2/2025 5:54,5.9,Поломка
46,5,12/15/2025,12/15/2025 1:26,1.433333333,Плановый ремонт
47,6,2/21/2025,2/21/2025 5:03,5.05,Наладка
48,2,8/27/2025,8/27/2025 2:27,2.45,Контроль качества
49,2,10/20/2025,10/20/2025 4:17,4.283333333,Наладка
50,4,5/3/2025,5/3/2025 3:10,3.166666667,Наладка
51,6,3/28/2025,3/28/2025 3:59,3.983333333,Ожидание материала
52,2,4/8/2025,4/8/2025 2:50,2.833333333,Контроль качества
53,5,6/18/2025,6/18/2025 5:29,5.483333333,Поломка
54,5,6/30/2025,6/30/2025 4:05,4.083333333,Поломка
55,3,10/7/2025,10/7/2025 3:23,3.383333333,Наладка
56,2,5/8/2025,5/8/2025 0:21,0.35,Контроль качества
57,5,7/6/2025,7/6/2025 0:52,0.866666667,Поломка
58,2,8/14/2025,8/14/2025 1:07,1.116666667,Ожидание материала
59,5,3/5/2025,3/5/2025 3:16,3.266666667,Наладка
60,4,6/28/2025,6/28/2025 0:53,0.883333333,Ожидание материала
61,4,3/5/2025,3/5/2025 0:43,0.716666667,Ожидание материала
62,3,4/7/2025,4/7/2025 3:37,3.616666667,Плановый ремонт
63,6,1/21/2025,1/21/2025 0:53,0.883333333,Наладка
64,3,4/1/2025,4/1/2025 2:58,2.966666667,Наладка
65,3,5/3/2025,5/3/2025 3:27,3.45,Ожидание материала
66,1,6/8/2025,6/8/2025 1:57,1.95,Плановый ремонт
67,3,2/12/2025,2/12/2025 1:38,1.633333333,Ожидание материала
68,4,7/29/2025,7/29/2025 2:20,2.333333333,Контроль качества
69,2,3/10/2025,3/10/2025 4:39,4.65,Наладка
70,5,7/7/2025,7/7/2025 4:04,4.066666667,Наладка
71,4,4/24/2025,4/24/2025 1:30,1.5,Контроль качества
72,1,2/18/2025,2/18/2025 5:40,5.666666667,Ожидание материала
73,5,8/6/2025,8/6/2025 3:23,3.383333333,Контроль качества
74,4,12/12/2025,12/12/2025 4:04,4.066666667,Наладка
75,6,3/13/2025,3/13/2025 4:35,4.583333333,Ожидание материала
76,5,5/24/2025,5/24/2025 4:31,4.516666667,Ожидание материала
77,3,2/16/2025,2/16/2025 0:27,0.45,Контроль качества
78,6,11/18/2025,11/18/2025 2:49,2.816666667,Наладка
79,3,7/5/2025,7/5/2025 5:32,5.533333333,Плановый ремонт
80,5,9/21/2025,9/21/2025 1:51,1.85,Контроль качества
81,4,7/19/2025,7/19/2025 5:55,5.916666667,Наладка
82,2,10/29/2025,10/29/2025 0:45,0.75,Плановый ремонт
83,6,4/3/2025,4/3/2025 4:39,4.65,Наладка
